303	26.913326	245.721527	224.574860	4.347455	4.337362
304	26.914860	245.715363	224.569275	4.347330	4.308158
305	26.919445	245.696503	224.552216	4.346959	4.278954
306	26.927059	245.665192	224.523895	4.346344	4.249747
307	26.937681	245.621552	224.484436	4.345485	4.220537
308	26.951288	245.565948	224.434235	4.344385	4.191322
309	26.967857	245.497711	224.372498	4.343047	4.162100
310	26.987368	245.417572	224.299988	4.341470	4.132871
311	27.009796	245.325592	224.216827	4.339658	4.103632
312	27.035122	245.221710	224.122925	4.337612	4.074383
313	27.063320	245.105988	224.018219	4.335336	4.045122
314	27.094370	244.978729	223.903168	4.332829	4.015848
315	27.128250	244.839691	223.777466	4.330095	3.986559
316	27.164938	244.689423	223.641602	4.327135	3.957255
317	27.204409	244.527679	223.495331	4.323952	3.927934
318	27.246645	244.354645	223.338837	4.320548	3.898594
319	27.291620	244.170685	223.172485	4.316923	3.869236
320	27.339314	243.975372	222.995911	4.313082	3.839856
321	27.389704	243.769379	222.809662	4.309024	3.810455
322	27.442766	243.552277	222.613312	4.304754	3.781031
323	27.498482	243.324615	222.407440	4.300274	3.751582
324	27.556828	243.086273	222.191895	4.295584	3.722109
325	27.617779	242.837433	221.966858	4.290687	3.692609
326	27.681316	242.578522	221.732788	4.285585	3.663082
327	27.747416	242.309174	221.489227	4.280283	3.633526
328	27.816055	242.029510	221.236298	4.274780	3.603941
329	27.887215	241.739655	220.974243	4.269079	3.574326
330	27.960869	241.440216	220.703461	4.263182	3.544679
331	28.036997	241.130951	220.423828	4.257091	3.515000
332	28.115578	240.811676	220.135071	4.250811	3.485288
333	28.196587	240.482941	219.837799	4.244341	3.455542
334	28.280003	240.144745	219.531982	4.237686	3.425761
335	28.365805	239.797394	219.217896	4.230845	3.395944
336	28.453968	239.440765	218.895447	4.223824	3.366091
337	28.544472	239.074738	218.564423	4.216623	3.336200
338	28.637295	238.700073	218.225647	4.209245	3.306271
339	28.732414	238.316101	217.878418	4.201694	3.276304
340	28.829805	237.923767	217.523651	4.193971	3.246297
341	28.929449	237.522949	217.161224	4.186077	3.216250
342	29.031322	237.113525	216.791016	4.178017	3.186163
343	29.135405	236.695648	216.413147	4.169792	3.156034
344	29.241669	236.269470	216.027771	4.161406	3.125863
345	29.350098	235.835449	215.635315	4.152860	3.095650
346	29.460665	235.393158	215.235352	4.144157	3.065394
347	29.573351	234.943024	214.828308	4.135300	3.035094
348	29.688133	234.485352	214.414459	4.126291	3.004751
349	29.804991	234.020142	213.993774	4.117133	2.974363
350	29.923897	233.547394	213.566315	4.107828	2.943930
351	30.044834	233.067444	213.132294	4.098379	2.913453
352	30.167778	232.580231	212.691742	4.088789	2.882930
353	30.292707	232.085999	212.244812	4.079060	2.852361
354	30.419598	231.584686	211.791504	4.069196	2.821746
355	30.548429	231.076935	211.332367	4.059197	2.791085
356	30.679180	230.562256	210.866974	4.049069	2.760377
357	30.811825	230.041107	210.395721	4.038812	2.729622
358	30.946344	229.513733	209.918854	4.028430	2.698820
359	31.082716	228.979889	209.436096	4.017925	2.667971
360	31.220915	228.440094	208.947968	4.007301	2.637075
361	31.360922	227.894501	208.454620	3.996559	2.606132
362	31.502714	227.342957	207.955902	3.985703	2.575140
363	31.646269	226.785828	207.452118	3.974735	2.544102
364	31.791563	226.222870	206.943054	3.963659	2.513015
365	31.938576	225.654724	206.429291	3.952476	2.481881
366	32.087284	225.081451	205.910889	3.941190	2.450700
367	32.237667	224.502960	205.387817	3.929803	2.419471
368	32.389702	223.919312	204.860016	3.918318	2.388194
369	32.543362	223.331268	204.328308	3.906738	2.356869
370	32.698631	222.738098	203.791931	3.895065	2.325498
371	32.855488	222.140594	203.251617	3.883303	2.294079
372	33.013905	221.538605	202.707275	3.871454	2.262612
373	33.173862	220.932159	202.158875	3.859521	2.231099
374	33.335335	220.321991	201.607147	3.847507	2.199539
375	33.498306	219.707458	201.051453	3.835413	2.167933
376	33.662750	219.089172	200.492340	3.823244	2.136280
377	33.828648	218.467377	199.930084	3.811002	2.104581
378	33.995972	217.841766	199.364349	3.798690	2.072836
379	34.164703	217.212799	198.795624	3.786309	2.041045
380	34.334820	216.580475	198.223816	3.773864	2.009209
381	34.506302	215.944977	197.649170	3.761356	1.977328
382	34.679119	215.306519	197.071869	3.748788	1.945402
383	34.853256	214.665192	196.491913	3.736164	1.913432
384	35.028690	214.021088	195.909485	3.723486	1.881418
385	35.205395	213.374329	195.324646	3.710756	1.849360
386	35.383354	212.725098	194.737579	3.697976	1.817259
387	35.562542	212.073364	194.148224	3.685151	1.785115
388	35.742935	211.419708	193.557159	3.672282	1.752928
389	35.924511	210.763763	192.964020	3.659372	1.720699
390	36.107254	210.105774	192.369019	3.646423	1.688429
391	36.291134	209.446320	191.772736	3.633438	1.656118
392	36.476131	208.784698	191.174408	3.620420	1.623766
393	36.662228	208.121857	190.575073	3.607371	1.591373
394	36.849396	207.457367	189.974152	3.594293	1.558941
395	37.037613	206.791718	189.372284	3.581189	1.526470
396	37.226864	206.124878	188.769287	3.568062	1.493960
397	37.417118	205.456757	188.165100	3.554914	1.461411
398	37.608356	204.787781	187.560211	3.541748	1.428825
399	37.800560	204.118103	186.954620	3.528564	1.396202
400	37.993702	203.447754	186.348450	3.515367	1.363542
401	38.187759	202.776550	185.741516	3.502159	1.330845
402	38.382717	202.105164	185.134430	3.488941	1.298113
403	38.578545	201.433167	184.526733	3.475717	1.265347
404	38.775227	200.760925	183.918854	3.462487	1.232545
405	38.972736	200.088837	183.311127	3.449256	1.199710
